NAME                                                        READY   STATUS      RESTARTS        AGE     IP            NODE                                         NOMINATED NODE   READINESS GATES
anish-dynamo-operator-controller-manager-869d777d8c-d9pt4   1/1     Running     1 (6h48m ago)   11d     10.0.21.94    cluster-0967a26d-pool-1f83edbe-mj5s4-gnsf4   <none>           <none>
anish-nats-0                                                2/2     Running     0               11d     10.0.19.45    cluster-0967a26d-pool-1f83edbe-mj5s4-trdbv   <none>           <none>
kaniko-mx-server-rl-d168542-mfmqn                           0/1     Completed   0               4d9h    10.0.10.28    cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
kaniko-mx-sglang-public-bb22a90-8sbsm                       0/1     Completed   0               3d9h    10.0.11.113   cluster-0967a26d-pool-14bee067-prctr-bw4bt   <none>           <none>
kaniko-mx-sglang-rl-bb22a90-mwjxn                           0/1     Error       0               3d9h    10.0.10.147   cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
kaniko-mx-sglang-rl-bb22a90-v4x5s                           0/1     Error       0               3d9h    10.0.10.98    cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
kaniko-mx-vllm-rl-1b71f9c-l4shr                             0/1     Completed   0               4d3h    10.0.16.241   cluster-0967a26d-pool-14bee067-prctr-7wrxm   <none>           <none>
kaniko-mx-vllm-rl-1e2212f-f6fvg                             0/1     Completed   0               3d9h    10.0.16.4     cluster-0967a26d-pool-14bee067-prctr-7wrxm   <none>           <none>
kaniko-mx-vllm-rl-257b413-8btfn                             0/1     Completed   0               4d2h    10.0.16.144   cluster-0967a26d-pool-14bee067-prctr-7wrxm   <none>           <none>
kaniko-mx-vllm-rl-3e328cf-cnwxz                             0/1     Completed   0               3d11h   10.0.16.161   cluster-0967a26d-pool-14bee067-prctr-7wrxm   <none>           <none>
kaniko-mx-vllm-rl-7457143-pmrhb                             0/1     Completed   0               4d3h    10.0.16.20    cluster-0967a26d-pool-14bee067-prctr-7wrxm   <none>           <none>
kaniko-mx-vllm-rl-adc1b2d-hhkv5                             0/1     Completed   0               4d2h    10.0.16.186   cluster-0967a26d-pool-14bee067-prctr-7wrxm   <none>           <none>
kaniko-mx-vllm-rl-bb22a90-jqzpp                             0/1     Completed   0               3d9h    10.0.10.14    cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
kaniko-mx-vllm-rl-d168542-q6k77                             0/1     Completed   0               4d9h    10.0.8.122    cluster-0967a26d-pool-14bee067-prctr-qkbg4   <none>           <none>
kaniko-mx-vllm-rl-e59fc0a-tnj5j                             0/1     Completed   0               3d13h   10.0.15.48    cluster-0967a26d-pool-14bee067-prctr-hx78c   <none>           <none>
mx-broadcast-ray-head-bb22a90                               1/1     Running     0               3d9h    10.0.18.213   cluster-0967a26d-pool-14bee067-prctr-z2rzf   <none>           <none>
mx-broadcast-real-ray-head-1e2212f                          1/1     Running     0               3d9h    10.0.10.68    cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
mx-ce-live-vllm0171-refit-d168542-ztnzt                     0/1     Completed   0               4d7h    10.0.12.8     cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-ce-vllm0171-preflight-d168542-9srck                      0/1     Completed   0               4d8h    10.0.12.140   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-crossnode-hot-live-tiny-d168542-sm9g7                    0/1     Completed   0               4d7h    10.0.12.157   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-dev-goal-20260605                                        1/1     Running     0               21h     10.0.21.215   cluster-0967a26d-pool-1f83edbe-mj5s4-gnsf4   <none>           <none>
mx-elastic-add-remove-vs-verl-nixl-k82rx                    0/1     Completed   0               3d13h   10.0.9.249    cluster-0967a26d-pool-14bee067-prctr-th9sn   <none>           <none>
mx-fp8-attrs-unit-7457143-fksqb                             0/1     Completed   0               4d3h    10.0.23.162   cluster-0967a26d-pool-1f83edbe-mj5s4-4sr9z   <none>           <none>
mx-headline-vllm-load-llama70b-fp8-hbj4t                    0/1     Completed   0               4d7h    10.0.12.197   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-nixl-broadcast-fanout-bb22a90-fd6qp                      0/1     Completed   0               3d9h    10.0.10.145   cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
mx-nixl-broadcast-fault-qwen05-1e2212f-rhwjt                0/1     Completed   0               3d8h    10.0.11.74    cluster-0967a26d-pool-14bee067-prctr-bw4bt   <none>           <none>
mx-nixl-qwen3-30b-fp8-mx-sampled-1e2212f-854d5              0/1     Completed   0               3d8h    10.0.10.55    cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
mx-nixl-real-broadcast-n8-1e2212f-95xhh                     0/1     Completed   0               3d9h    10.0.11.148   cluster-0967a26d-pool-14bee067-prctr-bw4bt   <none>           <none>
mx-nixl-real-broadcast-n8-verlfix-1e2212f-6mtpc             0/1     Completed   0               3d9h    10.0.10.148   cluster-0967a26d-pool-14bee067-prctr-xmhbj   <none>           <none>
mx-qwen3-moe-bf16-ce-live-9fc26                             0/1     Completed   0               4d      10.0.12.14    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-ce-matrix-hsbtq                           0/1     Completed   0               4d      10.0.12.2     cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-hot-refit-v94zd               0/1     Completed   0               4d3h    10.0.12.8     cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-mx-kill-4gkw2                 0/1     Error       0               3d22h   10.0.12.111   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-mx-matrix-dbfxr               0/1     Completed   0               4d      10.0.12.129   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-nccl-fx5px                    0/1     Completed   0               4d1h    10.0.12.238   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-nccl-matrix-bf775             0/1     Completed   0               4d      10.0.12.47    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-nixl-kill-e59-98twk           0/1     Completed   0               3d12h   10.0.12.119   cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
mx-qwen3-moe-bf16-fsdp-source-nixl-kill-qrc88               0/1     Completed   0               3d22h   10.0.12.12    cluster-0967a26d-pool-14bee067-prctr-9c2x7   <none>           <none>
